date,start,high,low,end,volume,foreign,person,company,wondollar
2020.3.25,48950,49600,47150,48650,52735922,-2751527,4980190,-1695448,1229.9
2020.3.24,43850,46950,43050,46950,49801908,2929769,-6174614,3254324,1249.6
2020.3.23,42600,43550,42400,42500,41701626,-8143293,10988297,-3248991,1266.5
2020.3.20,44150,45500,43550,45400,49730008,-5133212,3248749,1669124,1246.5
2020.3.19,46400,46650,42300,42950,56925513,-5807616,4105594,1612440,1285.7
2020.3.18,47750,48350,45600,45600,40152623,-1177328,6418923,-5663938,1245.7
2020.3.17,46900,49650,46700,47300,51218151,-11447924,8712684,2488584,1243.5
2020.3.16,50100,50900,48800,48900,33339821,-4384786,7252206,-3277723,1226
2020.3.13,47450,51600,46850,49950,59462933,-11895370,7471123,4036953,1219.3
2020.3.12,51000,51900,49300,50800,48149999,-9094728,5437858,3490945,1206.5
2020.3.11,54300,54400,52000,52100,45707281,-10348533,12724913,-2842894,1193
2020.3.10,53800,54900,53700,54600,32106554,-6462688,2174718,3891630,1193.2
2020.3.9,54700,55000,53600,54200,30261485,-9954094,9795988,-148308,1204.2
2020.3.6,56500,57200,56200,56500,18716656,-2754138,3650220,-993225,1192.3
2020.3.5,57600,58000,56700,57800,21698990,-2213979,3017154,-851793,1181.2
2020.3.4,54800,57600,54600,57400,24765728,3089603,-2076201,-1047440,1187.8
2020.3.3,56700,56900,55100,55400,30330295,-2497875,4090083,-1698368,1195.2
2020.3.2,54300,55500,53600,55000,30403412,-7032275,4709773,2215716,1193.7
2020.2.28,55000,55500,54200,54200,30054227,-5179418,2345834,2825029,1213.7
2020.2.27,56300,56900,55500,55900,23209541,-2961120,2982368,-110165,1217.2
2020.2.26,56000,57000,56000,56500,25483102,-7059273,6380747,505796,1216.9
2020.2.25,56200,58000,56200,57900,23885408,-4871940,3396681,1389642,1210.3
2020.2.24,57400,58100,56800,56800,25627537,-8498289,6775137,2612960,1220.2
2020.2.21,58800,59800,58500,59200,13777393,773385,1638065,-2388943,1209.2
2020.2.20,60700,61300,59600,60000,14591924,-192039,514660,-389665,1198.7
2020.2.19,59800,60400,59400,60200,12951496,-1904939,1157486,697276,1189.3
2020.2.18,60800,60900,59700,59800,16674266,-3855005,6264601,-2458387,1189.5
2020.2.17,61600,62000,61200,61500,8740596,-1181701,726781,471048,1183.9
2020.2.14,60900,61900,60200,61800,13276067,1994688,-2613398,699682,1183
2020.2.13,61200,61600,60500,60700,18449775,4247876,-2007797,-1916497,1182.8
2020.2.12,60300,60700,59700,60500,12904207,-993237,-497602,1516828,1179.5
2020.2.11,59800,60700,59700,59900,11071231,-1664357,-230864,1889247,1181.6
2020.2.10,59200,59800,59100,59700,13107121,-1696826,1879979,-263054,1187.1
2020.2.7,61100,61200,59700,60400,16402493,534484,1783202,-2436611,1186.5
2020.2.6,60100,61100,59700,61100,14727159,816472,-3350671,2483655,1179.8
2020.2.5,60000,60200,58900,59500,19278165,4061210,354825,-4459274,1191.5
2020.2.4,57100,59000,56800,58900,21800192,3620363,97644,-3797514,1187.4
2020.2.3,55500,57400,55200,57200,23995260,-1609630,535820,1076953,1195
2020.1.31,57800,58400,56400,56400,19749457,-3804250,2215461,1648681,1191.8
2020.1.30,58800,58800,56800,57200,20821939,-3663060,5472474,-2262500,1185
2020.1.29,59100,59700,58800,59100,16446102,476435,1974250,-2537821,1177.2
2020.1.28,59400,59400,58300,58800,23664541,-5330482,4134073,1057597,1176.7
2020.1.23,61800,61800,60700,60800,14916555,-2262365,4031573,-1906336,1168.7
2020.1.22,60500,62600,60400,62300,15339565,123499,-1731848,1649008,1164.6
2020.1.21,62000,62400,61200,61400,11142693,-905210,2003871,-1255045,1167
2020.1.20,62000,62800,61700,62400,12528855,-213817,-88665,222082,1158.1
2020.1.17,61900,62000,61000,61300,16025661,976840,164249,-1267549,1159.4
2020.1.16,59100,60700,59000,60700,14381774,1133703,-473041,-676031,1161.1
2020.1.15,59500,59600,58900,59000,14300928,-2979166,2663405,244147,1157
2020.1.14,60400,61000,59900,60000,16906295,333238,996924,-1666086,1156.1
2020.1.13,59600,60000,59100,60000,11359139,1419537,79282,-1512823,1156
2020.1.10,58800,59700,58300,59500,16000170,1622097,1338888,-2954194,1161.3
2020.1.9,58400,58600,57400,58600,24102579,3691511,-1239050,-2302970,1159.1
2020.1.8,56200,57400,55900,56800,23501171,4272673,-4130647,73413,1170.8
2020.1.7,55700,56400,55600,55800,10009778,-58613,-10139,51896,1166.4
2020.1.6,54900,55600,54600,55500,10278951,771595,418722,-1199654,1172.1
2020.1.3,56000,56600,54900,55500,15422255,1110317,1199681,-2228329,1167.1
2020.1.2,55500,56000,55000,55200,12993228,-555181,2756657,-2354766,1158.1
2019.12.30,56200,56600,55700,55800,8356767,-3149823,1263838,1863761,1156.4
2019.12.27,55700,56900,55500,56500,12313056,-1165391,538862,596470,1161.5
2019.12.26,54700,55400,54400,55400,9645034,-1067769,-2061870,2955575,1161.8
2019.12.24,55600,55700,54800,55000,11868463,-1018528,-298842,1390595,1163.9
2019.12.23,56100,56400,55100,55500,9839252,-240500,-815053,1045950,1164.3
2019.12.20,56100,56500,55600,56000,12095519,463023,-368611,-140870,1160.6
2019.12.19,57000,57300,55500,56000,14180520,1440375,-476069,-1060547,1165.6
2019.12.18,56700,57200,56000,56300,15558208,1881414,-129799,-1665838,1168.8
2019.12.17,55800,56700,55400,56700,19358433,6160703,-5417589,-312676,1166.2
2019.12.16,54500,54900,54300,54700,11512405,-53964,-2187984,2348450,1172.3
2019.12.13,54500,54800,53900,54700,18120261,5243340,-7078573,2462464,1171.7
2019.12.12,53000,53300,52700,53300,29178697,5581619,-6707860,1381791,1186.8
2019.12.11,51500,52200,51400,51900,11379521,464436,-1228603,777723,1194.7
2019.12.10,51000,51600,50700,51500,6882771,114994,-948453,824233,1191.3
2019.12.9,50900,51400,50700,51200,8470627,759836,-845052,113143,1189.9
2019.12.6,50100,50900,49950,50400,11414563,-571291,-763354,1286390,1189.6
2019.12.5,50200,50400,49500,49500,10449715,-398040,776271,-414244,1190.2
2019.12.4,49600,49850,49000,49450,13246549,-1744831,1498635,147190,1194.3
2019.12.3,49800,50300,49500,49900,12059812,-3428552,1684646,1706963,1187.2
2019.12.2,50900,51300,50400,50400,18877252,-2825972,435163,2406489,1183.1
2019.11.29,51200,51400,50200,50300,11179334,-2819438,2880336,-293759,1181.2
2019.11.28,51900,52100,51300,51300,6833885,-1629404,1060978,533122,1179
2019.11.27,51800,52300,51600,52200,7546261,-571908,-242734,809775,1177.2
2019.11.26,51900,52900,51800,51800,27372226,-7501924,484545,6971446,1176.7
2019.11.25,52200,52600,51700,51800,9050625,-2607860,176505,2435789,1176
2019.11.22,51000,51600,50900,51600,8478310,-1888762,-158730,2037321,1178.9
2019.11.21,51600,52100,50600,51000,14298646,-3518936,996022,2168946,1178.1
2019.11.20,53400,53400,52000,52000,12560070,-3013478,2449064,221794,1170.1
2019.11.19,53200,53500,52700,53500,8907177,79737,401575,-473677,1167.6
2019.11.18,53600,53800,53200,53500,7746554,-1177753,385561,698517,1164.5
2019.11.15,52900,53700,52600,53700,9703360,-124778,-3896926,4314078,1166.6
2019.11.14,51900,52800,51900,52800,12010018,-1360009,-161294,1515686,1169.7
2019.11.13,52500,52500,52000,52500,6225196,773528,364673,-1138340,1167.8
2019.11.12,51800,52600,51600,52600,6576148,93962,-389952,307275,1160.8
2019.11.11,52200,52200,51400,51600,8185952,-464780,542524,-148067,1166.8
2019.11.8,53200,53300,52000,52100,11603290,-1532485,1162809,298325,1157.5
2019.11.7,53400,53400,52400,52900,9257116,-586552,301614,218876,1159.3
2019.11.6,52900,53500,52700,53300,14361133,4220179,-1977815,-2225167,1156.9
2019.11.5,52400,52700,52100,52700,10581034,2402213,-1402671,-872188,1157.5
2019.11.4,51700,52300,51400,52300,13012411,1390269,-2906124,1908996,1159.2
2019.11.1,50600,51200,50400,51200,8467846,1511542,-474468,-961398,1165.6
2019.10.31,51000,51400,50300,50400,10304777,409915,-1065871,625812,1163.4
2019.10.30,50700,50800,50200,50400,8959435,228654,543801,-1001770,1168.1
2019.10.29,51400,51700,50800,51100,7581629,-946068,107674,733952,1163
2019.10.28,50700,51500,50700,51300,6431522,540045,-1368119,853686,1170.7
2019.10.25,50800,51200,50500,50900,7879897,-634706,-186409,799881,1173
2019.10.24,52500,52500,50500,50700,21185785,-1333913,371241,903966,1172.9
2019.10.23,51300,51500,50800,51200,8663880,1241369,-112552,-1144153,1172.4
2019.10.22,50800,51500,50700,51200,10898729,2060093,-4156830,2175308,1169.7
2019.10.21,49900,50400,49800,50300,4406531,-69595,-382697,449500,1172
2019.10.18,50300,50900,49650,49900,8483106,1466844,318724,-1851593,1181.5
2019.10.17,50500,50600,50100,50500,6701380,-143896,-355225,511280,1187
2019.10.16,50700,50900,50400,50700,9136282,927389,-1716930,784343,1187.8
2019.10.15,49900,50200,49900,50100,6058105,304464,-774645,471561,1185.2
2019.10.14,50000,50300,49850,50000,11130635,1670460,-3303821,1673566,1184.9
2019.10.11,49000,49450,48800,49150,7783275,1744379,-1824511,475476,1188.8
2019.10.10,48200,49200,48000,48550,18639855,809379,-168345,-552280,1196.2
2019.10.8,47900,49000,47600,48900,14239367,-200194,-1124317,1861520,1193.1
2019.10.7,48350,48700,47650,47750,7047273,-778127,319678,464244,1196.6
2019.10.4,47400,48650,47350,48000,9331695,-241768,-322822,568109,1196.8
2019.10.2,48350,48400,47600,47600,8382463,620358,1179885,-1845220,1206
2019.10.1,48900,49100,48650,48850,6206035,-1866205,437578,1431272,1199
2019.9.30,48050,49250,47900,49050,9497119,532147,-408684,-121214,1196.2
2019.9.27,48000,48700,48000,48400,8048041,720941,412299,-1111879,1199.9
2019.9.26,49000,49250,48900,49200,8494756,-113921,17795,86986,1198.8
2019.9.25,49200,49350,48800,48900,9187141,-1371264,-411143,1498119,1198.8
2019.9.24,49050,49650,48850,49500,7871955,-1086797,-1270318,2174363,1195.7
2019.9.23,49250,49300,49000,49300,7568553,50317,-597350,540202,1194
2019.9.20,49400,49600,49100,49200,15460210,362980,-2130469,1786314,1188
2019.9.19,48050,49200,47850,49150,16461413,4965068,-3399926,-1113536,1193.6
2019.9.18,46900,47700,46800,47700,10413027,2460693,-2487625,53904,1191.3
